Address,Lot,Price,Image_Link,Link
Rizal,62,1722400,https://www.unionbankph.com/sites/default/files/2025-01/Screenshot%202025-01-13%20135811.png,https://www.unionbankph.com/foreclosed-properties/5403
Misamis Oriental,99,4413000,https://www.unionbankph.com/sites/default/files/2025-04/Capture_61.PNG,https://www.unionbankph.com/foreclosed-properties/6050
Cavite,206,8757470,https://www.unionbankph.com/sites/default/files/2025-06/Capture1_22.PNG,https://www.unionbankph.com/foreclosed-properties/6235
Laguna,80,1477300,https://www.unionbankph.com/sites/default/files/2025-06/Capture_43.PNG,https://www.unionbankph.com/foreclosed-properties/6254
Misamis Oriental,80,1477300,https://www.unionbankph.com/sites/default/files/2025-06/Capture_64.PNG,https://www.unionbankph.com/foreclosed-properties/6275
Laguna,81,2593440,https://www.unionbankph.com/sites/default/files/2023-02/3_8.PNG,https://www.unionbankph.com/foreclosed-properties/3457
Bulacan,180,1423000,https://www.unionbankph.com/sites/default/files/2025-04/Capture_16.PNG,https://www.unionbankph.com/foreclosed-properties/5963
Laguna,116,1645600,https://www.unionbankph.com/sites/default/files/2025-06/Capture_37.PNG,https://www.unionbankph.com/foreclosed-properties/6247
Laguna,617,11020300,https://www.unionbankph.com/sites/default/files/2025-01/Screenshot%202025-01-23%20140634.png,https://www.unionbankph.com/foreclosed-properties/5708
Quezon,120,4114250,https://www.unionbankph.com/sites/default/files/2025-08/Capture_21.PNG,https://www.unionbankph.com/foreclosed-properties/6671
Laguna,95,1547430,https://www.unionbankph.com/sites/default/files/2025-06/Capture_52.PNG,https://www.unionbankph.com/foreclosed-properties/6268
NCR,31,4914000,https://www.unionbankph.com/sites/default/files/2025-08/Capture_6.PNG,https://www.unionbankph.com/foreclosed-properties/6639
Iloilo,176,1157800,https://www.unionbankph.com/sites/default/files/2025-09/Screenshot%202025-09-18%20173855.png,https://www.unionbankph.com/foreclosed-properties/7064
NCR,28,4307000,https://www.unionbankph.com/sites/default/files/2022-11/6_6.PNG,https://www.unionbankph.com/foreclosed-properties/3303
Cavite,717,5734000,https://www.unionbankph.com/sites/default/files/2023-02/A_9.PNG,https://www.unionbankph.com/foreclosed-properties/3440
NCR,544,17311000,https://www.unionbankph.com/sites/default/files/2024-10/Capture_5.PNG,https://www.unionbankph.com/foreclosed-properties/5080
NCR,64,5969000,https://www.unionbankph.com/sites/default/files/2025-01/Screenshot%202025-01-10%20134831.png,https://www.unionbankph.com/foreclosed-properties/5379
Davao,52,5632000,https://www.unionbankph.com/sites/default/files/2025-01/Screenshot%202025-01-16%20144431.png,https://www.unionbankph.com/foreclosed-properties/5505
NCR,90,7943000,https://www.unionbankph.com/sites/default/files/2025-03/Screenshot%202025-03-15%20135552.png,https://www.unionbankph.com/foreclosed-properties/5856
Cavite,169,6149000,https://www.unionbankph.com/sites/default/files/2025-06/Capture_9.PNG,https://www.unionbankph.com/foreclosed-properties/6215
Laguna,103,1584830,https://www.unionbankph.com/sites/default/files/2025-06/Capture_25.PNG,https://www.unionbankph.com/foreclosed-properties/6240
Laguna,128,1701700,https://www.unionbankph.com/sites/default/files/2025-06/Capture_69.PNG,https://www.unionbankph.com/foreclosed-properties/6279
Laguna,107,1603530,https://www.unionbankph.com/sites/default/files/2025-06/Capture_84.PNG,https://www.unionbankph.com/foreclosed-properties/6299
Laguna,180,3900000,https://www.unionbankph.com/sites/default/files/2025-06/Capture_103.PNG,https://www.unionbankph.com/foreclosed-properties/6317
NCR,45,5014240,https://www.unionbankph.com/sites/default/files/2025-08/Capture_29.PNG,https://www.unionbankph.com/foreclosed-properties/6678
Cavite,66,3755000,https://www.unionbankph.com/sites/default/files/2022-11/8.PNG,https://www.unionbankph.com/foreclosed-properties/3268
Cavite,845,6758000,https://www.unionbankph.com/sites/default/files/2023-02/A.PNG,https://www.unionbankph.com/foreclosed-properties/3432
NCR,59,11505000,https://www.unionbankph.com/sites/default/files/2024-02/3_4.PNG,https://www.unionbankph.com/foreclosed-properties/4325
Laguna,387,5147100,https://www.unionbankph.com/sites/default/files/2025-01/Screenshot%202025-01-09%20163216.png,https://www.unionbankph.com/foreclosed-properties/5368
Rizal,182,3424000,https://www.unionbankph.com/sites/default/files/2025-01/Screenshot%202025-01-16%20141352.png,https://www.unionbankph.com/foreclosed-properties/5497
NCR,30,4275000,https://www.unionbankph.com/sites/default/files/2025-03/Screenshot%202025-03-13%20103615.png,https://www.unionbankph.com/foreclosed-properties/5836
NCR,27,5633830,https://www.unionbankph.com/sites/default/files/2025-06/Capture_8.PNG,https://www.unionbankph.com/foreclosed-properties/6214
Laguna,88,1514700,https://www.unionbankph.com/sites/default/files/2025-06/Capture_30.PNG,https://www.unionbankph.com/foreclosed-properties/6239
NCR,69,2686000,https://www.unionbankph.com/sites/default/files/2025-06/Capture_101.PNG,https://www.unionbankph.com/foreclosed-properties/6315
NCR,54,4812000,https://www.unionbankph.com/sites/default/files/2025-08/Capture_27.PNG,https://www.unionbankph.com/foreclosed-properties/6677
Batangas,449,6735000,https://www.unionbankph.com/sites/default/files/2022-10/PTE%201.PNG,https://www.unionbankph.com/foreclosed-properties/3219
NCR,50,7020000,https://www.unionbankph.com/sites/default/files/2023-02/3.1_1.PNG,https://www.unionbankph.com/foreclosed-properties/3428
NCR,41,3847500,https://www.unionbankph.com/sites/default/files/2024-02/5.PNG,https://www.unionbankph.com/foreclosed-properties/4300
Laguna,374,4974200,https://www.unionbankph.com/sites/default/files/2025-01/Screenshot%202025-01-09%20154646.png,https://www.unionbankph.com/foreclosed-properties/5361
NCR,29,3625000,https://www.unionbankph.com/sites/default/files/2025-01/Screenshot%202025-01-15%20101625_1.png,https://www.unionbankph.com/foreclosed-properties/5449
Bulacan,48,2700000,https://www.unionbankph.com/sites/default/files/2025-01/Screenshot%202025-01-23%20142033.png,https://www.unionbankph.com/foreclosed-properties/5711
NCR,65,5720000,https://www.unionbankph.com/sites/default/files/2025-04/Capture_64.PNG,https://www.unionbankph.com/foreclosed-properties/6054
NCR,26,4144000,https://www.unionbankph.com/sites/default/files/2025-08/Capture_26.PNG,https://www.unionbankph.com/foreclosed-properties/6676
Isabela,100,1690000,https://www.unionbankph.com/sites/default/files/2022-10/ATTABAN%201.PNG,https://www.unionbankph.com/foreclosed-properties/3210
NCR,63,8661000,https://www.unionbankph.com/sites/default/files/2023-02/7.PNG,https://www.unionbankph.com/foreclosed-properties/3423
NCR,32,4977050,https://www.unionbankph.com/sites/default/files/2024-02/4.4.PNG,https://www.unionbankph.com/foreclosed-properties/4299
Laguna,196,2606800,https://www.unionbankph.com/sites/default/files/2025-01/Screenshot%202025-01-09%20154149.png,https://www.unionbankph.com/foreclosed-properties/5359
NCR,27,3186000,https://www.unionbankph.com/sites/default/files/2025-01/Screenshot%202025-01-15%20101625.png,https://www.unionbankph.com/foreclosed-properties/5448
Laguna,99,4105630,https://www.unionbankph.com/sites/default/files/2025-08/Capture_20.PNG,https://www.unionbankph.com/foreclosed-properties/6670
Nueva Ecija,2,2951000,https://www.unionbankph.com/sites/default/files/2023-01/4.2_1.PNG,https://www.unionbankph.com/foreclosed-properties/3354
Cavite,615,4919000,https://www.unionbankph.com/sites/default/files/2023-02/A_17.PNG,https://www.unionbankph.com/foreclosed-properties/3447
Laguna,212,2819600,https://www.unionbankph.com/sites/default/files/2025-01/Screenshot%202025-01-09%20103433.png,https://www.unionbankph.com/foreclosed-properties/5340
Davao,330,12667000,https://www.unionbankph.com/sites/default/files/2025-01/Capture_25.PNG,https://www.unionbankph.com/foreclosed-properties/5583
NCR,50,1049000,https://www.unionbankph.com/sites/default/files/2025-04/Capture_50.PNG,https://www.unionbankph.com/foreclosed-properties/6030
Laguna,98,1561450,https://www.unionbankph.com/sites/default/files/2025-06/Capture_14.PNG,https://www.unionbankph.com/foreclosed-properties/6222
Laguna,182,2675400,https://www.unionbankph.com/sites/default/files/2025-01/Screenshot%202025-01-09%20155251.png,https://www.unionbankph.com/foreclosed-properties/5363
NCR,25,3150000,https://www.unionbankph.com/sites/default/files/2025-01/Screenshot%202025-01-15%20133543.png,https://www.unionbankph.com/foreclosed-properties/5454
NCR,32,3549660,https://www.unionbankph.com/sites/default/files/2025-03/Screenshot%202025-03-12%20170136.png,https://www.unionbankph.com/foreclosed-properties/5827
Nueva Ecija,60,2990000,https://www.unionbankph.com/sites/default/files/2025-04/Capture_70.PNG,https://www.unionbankph.com/foreclosed-properties/6059
NCR,32,4799000,https://www.unionbankph.com/sites/default/files/2025-08/Capture_23.PNG,https://www.unionbankph.com/foreclosed-properties/6673
Rizal,280,8400000,https://www.unionbankph.com/sites/default/files/2023-01/3.1_4.PNG,https://www.unionbankph.com/foreclosed-properties/3369
NCR,40,5092000,https://www.unionbankph.com/sites/default/files/2024-06/Capture_26.PNG,https://www.unionbankph.com/foreclosed-properties/4822
Laguna,289,6012000,https://www.unionbankph.com/sites/default/files/2025-01/Screenshot%202025-01-09%20161049.png,https://www.unionbankph.com/foreclosed-properties/5366
