title,Latitude,Longitude
"Brgy. Bagumbayan, Teresa Rizal",14.5501,121.2185
"Subdivision, Barangay Kauswagan, Cagayan de Oro City, Misamis Oriental",8.4942,124.6359
"Subdivision, Phase 1 The Island Park, Barangay Paliparan III, Dasmariñas City, Province Of Cavite",14.3294,120.959
"Barangay Barandal, Calamba City, Province Of Laguna",14.1883,121.1306
"Brgy. Barandal, Calamba City Province Of Laguna",14.1883,121.1306
"Subdivision, Barangay San Pablo Sur, Sta. Cruz, Laguna",14.2786,121.4153
"BRGY. ABANGAN NORTE, MARILAO, BULACAN",14.7575,120.9486
"Brgy Barandal, Calamba City, Province Of Laguna",14.1883,121.1306
"SUBDIVISION, BRGY. TUBIGAN, BIÑAN, PROVINCE OF LAGUNA",14.3125,121.0806
"Subdivision, Brgy. Kanlurang Mayao, Lucena City, Quezon Province",13.9314,121.6176
"Brgy. Barandal, Calamba City, Province Of Laguna",14.1883,121.1306
"Barangay 183, Pasay City, Metro Manila",14.5189,121.0195
"Subdivision, Pulo, Maestra Vita, Oton, Iloilo City",10.6931,122.4445
"Building East, Azure Urban Resort, Barangay Marcelo Green, Parañaque City, Metro Manila",14.478,121.038
"Subdivision, Barangay Tanauan, Tanza, Cavite",14.3113,120.8312
"Subdivision, Barangay Pulang Lupa Dos, Las Piñas City, Metropolitan Manila",14.4507,120.9825
"Barangay Santolan, City of Pasig",14.5989,121.085
"Building Camella Northpoint Condominium Complex Brgy. Bajada, Davao City",7.092,125.613
"SUBDIVISION, BRGY. TALON DOS, LAS PIÑAS CITY",14.4445,120.981
"Subdivision, Phase 3A, Barangay Lantic, Carmona, Cavite",14.313,121.057
"Barangay Majada Labas And Phase II, Barangay Barandal, Calamba City, Laguna",14.1942,121.1055
"Brgy. Barandal, Calamba City Province Of Laguna",14.1883,121.1306
"Subdivision, Phase 1, Barangay San Vicente, Municipality Of San Pedro, Province Of Laguna",14.3658,121.0542
"Building 3, Maui Oasis, Anonas Street, Barangay 630, Zone 63, Sta. Mesa, Manila City",14.598,121.017
"Barangay Buhay na Tubig, Imus City, Cavite",14.406,120.941
"Subdivision, Barangay Tanauan, Tanza, Cavite",14.3113,120.8312
"Barangay Fort Bonifacio, Taguig City, Metro Manila",14.5438,121.0453
"Subdivision, Phase 1, Barangay San Antonio, San Pedro, Laguna",14.3658,121.0542
"Brgy. San Roque, Antipolo",14.625,121.176
"Barangay Bagumbayan, Quezon City, Metro Manila",14.608,121.0823
"Barangay Poblacion, Makati City, Metro Manila",14.5674,121.0319
"Barangay Barandal, Canlubang, Calamba City, Laguna",14.1883,121.1306
"Building 15, Unit 15-B-2, Urci Townhomes, Brgy Pamplona Tres, Las Piñas City, Metropolitan Manila",14.45,120.982
"Barangay 696, Zone 76, Manila",14.5995,120.9842
"Subdivision, Barangay San Gregorio, Laurel, Batangas",14.083,120.9
"Barangay Tandang Sora, Quezon City, Metro Manila",14.676,121.056
"Brgy. Bagumbayan, Quezon City, Metro Manila",14.608,121.0823
"Subdivision, Barangay San Antonio, San Pedro, Laguna",14.3658,121.0542
"Brgy. Katipunan, Quezon City",14.65,121.07
"BARANGAY MATUNGAO, MUNICIPALITY OF BULACAN, PROVINCE OF BULACAN",14.79,120.97
"BRGY. PULANG LUPA DOS, LAS PIÑAS CITY",14.4507,120.9825
"Barangay Hulo, Mandaluyong City, Metro Manila",14.5703,121.0323
"Brgy. Rizal, Santiago City, Isabela",16.692,121.552
"Building 2 (Zurich Building), Aurora Boulevard corner Balete Drive, Barangay Kaunlaran, New Manila District, Quezon City, Metro Manila",14.626,121.045
"Barangay Bagumbayan, Quezon City, Metro Manila",14.608,121.0823
"Subdivision, Phase 1, Barangay San Antonio, San Pedro, Laguna",14.3658,121.0542
"Brgy. Katipunan, Quezon City",14.65,121.07
"Barangay San Jose, San Pablo City, Laguna",14.07,121.325
"Subdivision, Barangay Tanauan, Tanza, Cavite",14.3113,120.8312
"Subdivision, Phase 1, Barangay San Antonio, San Pedro, Laguna",14.3658,121.0542
"BRGY MATINA, DAVAO CITY",7.07,125.6
"BRGY. TALON TREA, LAS PIÑAS CITY",14.444,120.981
"Brgy. Majada, Calamba City, Province Of Laguna",14.1942,121.1055
"Subdivision, Trails 1, Barangay San Antonio, San Pedro, Laguna",14.3658,121.0542
"Barangay Kaunlaran, Quezon City",14.626,121.045
"BRGY. STO. CRISTO SUR GAPAN CITY, NUEVA ECIJA",15.31,120.95
"Barangay Hulo, Mandaluyong City, Metro Manila",14.5703,121.0323
"Subdivision, Timberland Heights, Barangay Gitnang Bayan II, San Mateo, Rizal",14.676,121.123
"Barangay Socorro, Cubao District, Quezon City, Metro Manila",14.619,121.056
"Subdivision, Phase 1, Barangay San Antonio, San Pedro, Laguna",14.3658,121.0542
"Barangay Bagtas, Municipality Of Tanza, Province Of Cavite",14.311,120.83
"Barangay Bagumbayan, Quezon City, Metro Manila",14.608,121.0823
"Barangay Majada Labas, Calamba City, Laguna",14.1942,121.1055
"Brgy. Hulo, Mandaluyong",14.5703,121.0323
"Barangay Bagumbayan, Quezon City, Metro Manila",14.608,121.0823
"Brgy. Poblacion, Makati City, Metro Manila",14.5674,121.0319
"Subdivision, Phase 1, Barangay San Antonio, San Pedro, Laguna",14.3658,121.0542
Brgy. Ugong Pasig City,14.583,121.067
"BARANGAY SUCAT, MUNTINLUPA CITY, METROPOLITAN MANILA",14.45,121.05
"Subdivision, Barangay Kauswagan, Cagayan de Oro City, Misamis Oriental",8.4942,124.6359
"Barangay Majada Calamba City, Province Of Laguna",14.1942,121.1055
"Barangay Barandal, Calamba City, Province Of Laguna",14.1883,121.1306
"Barangay Barandal, Calamba City, Province Of Laguna",14.1883,121.1306
"Subdivision, Gran Europa, Brgy. Lumbia, Cagayan De Oro City",8.45,124.6
"Subdivision, Barangay Jibao-an, Pavia, Iloilo",10.746,122.537
"Subdivision, Barangay Tanauan, Tanza, Cavite",14.3113,120.8312
"Subdivision, Barangay Niuyugan, Laurel, Batangas",14.083,120.9
"Brgy. Kaypian San Jose Del Monte, Bulacan",14.813,121.045
"BRGY. STO. NIÑO, TUGBOK DISTRICT, DAVAO CITY",7.03,125.5
"BRGY. BAGTAS, TANZA, CAVITE",14.311,120.83
Building Brgy. Mabolo Cebu City,10.323,123.918
"Subdivision, Barangay San Pablo Sur, Sta. Cruz, Laguna",14.2786,121.4153
"Barangay Bagumbayan, Quezon City, Metro Manila",14.608,121.0823
"Subdivision, Barangay Tanauan, Tanza, Cavite",14.3113,120.8312
