title,Latitude,Longitude,Link
"Brgy. Bagumbayan, Teresa Rizal",14.5501,121.2185,https://www.unionbankph.com/foreclosed-properties/5403
"Subdivision, Barangay Kauswagan, Cagayan de Oro City, Misamis Oriental",8.4942,124.6359,https://www.unionbankph.com/foreclosed-properties/6050
"Subdivision, Phase 1 The Island Park, Barangay Paliparan III, Dasmariñas City, Province Of Cavite",14.3294,120.959,https://www.unionbankph.com/foreclosed-properties/6235
"Barangay Barandal, Calamba City, Province Of Laguna",14.1883,121.1306,https://www.unionbankph.com/foreclosed-properties/6254
"Brgy. Barandal, Calamba City Province Of Laguna",14.1883,121.1306,https://www.unionbankph.com/foreclosed-properties/6275
"Subdivision, Barangay San Pablo Sur, Sta. Cruz, Laguna",14.2786,121.4153,https://www.unionbankph.com/foreclosed-properties/3457
"BRGY. ABANGAN NORTE, MARILAO, BULACAN",14.7575,120.9486,https://www.unionbankph.com/foreclosed-properties/5963
"Brgy Barandal, Calamba City, Province Of Laguna",14.1883,121.1306,https://www.unionbankph.com/foreclosed-properties/6247
"SUBDIVISION, BRGY. TUBIGAN, BIÑAN, PROVINCE OF LAGUNA",14.3125,121.0806,https://www.unionbankph.com/foreclosed-properties/5708
"Subdivision, Brgy. Kanlurang Mayao, Lucena City, Quezon Province",13.9314,121.6176,https://www.unionbankph.com/foreclosed-properties/6671
"Brgy. Barandal, Calamba City, Province Of Laguna",14.1883,121.1306,https://www.unionbankph.com/foreclosed-properties/6268
"Barangay 183, Pasay City, Metro Manila",14.5189,121.0195,https://www.unionbankph.com/foreclosed-properties/6639
"Subdivision, Pulo, Maestra Vita, Oton, Iloilo City",10.6931,122.4445,https://www.unionbankph.com/foreclosed-properties/7064
"Building East, Azure Urban Resort, Barangay Marcelo Green, Parañaque City, Metro Manila",14.478,121.038,https://www.unionbankph.com/foreclosed-properties/3303
"Subdivision, Barangay Tanauan, Tanza, Cavite",14.3113,120.8312,https://www.unionbankph.com/foreclosed-properties/3440
"Subdivision, Barangay Pulang Lupa Dos, Las Piñas City, Metropolitan Manila",14.4507,120.9825,https://www.unionbankph.com/foreclosed-properties/5080
"Barangay Santolan, City of Pasig",14.5989,121.085,https://www.unionbankph.com/foreclosed-properties/5379
"Building Camella Northpoint Condominium Complex Brgy. Bajada, Davao City",7.092,125.613,https://www.unionbankph.com/foreclosed-properties/5505
"SUBDIVISION, BRGY. TALON DOS, LAS PIÑAS CITY",14.4445,120.981,https://www.unionbankph.com/foreclosed-properties/5856
"Subdivision, Phase 3A, Barangay Lantic, Carmona, Cavite",14.313,121.057,https://www.unionbankph.com/foreclosed-properties/6215
"Barangay Majada Labas And Phase II, Barangay Barandal, Calamba City, Laguna",14.1942,121.1055,https://www.unionbankph.com/foreclosed-properties/6240
"Brgy. Barandal, Calamba City Province Of Laguna",14.1883,121.1306,https://www.unionbankph.com/foreclosed-properties/6275
"Subdivision, Phase 1, Barangay San Vicente, Municipality Of San Pedro, Province Of Laguna",14.3658,121.0542,https://www.unionbankph.com/foreclosed-properties/6317
"Building 3, Maui Oasis, Anonas Street, Barangay 630, Zone 63, Sta. Mesa, Manila City",14.598,121.017,https://www.unionbankph.com/foreclosed-properties/6678
"Barangay Buhay na Tubig, Imus City, Cavite",14.406,120.941,https://www.unionbankph.com/foreclosed-properties/3268
"Subdivision, Barangay Tanauan, Tanza, Cavite",14.3113,120.8312,https://www.unionbankph.com/foreclosed-properties/3440
