Address,Lot,Price,Image_Link,Link
"Teresa, Rizal",FA: 43 sqm • LA: 62 sqm,"Php 1,722,400",https://www.unionbankph.com/sites/default/files/2025-01/Screenshot%202025-01-13%20135811.png,https://www.unionbankph.com/foreclosed-properties/5403
"Cagayan de Oro City, Misamis Oriental",FA: 118 sqm • LA: 99 sqm,"Php 4,413,000",https://www.unionbankph.com/sites/default/files/2025-04/Capture_61.PNG,https://www.unionbankph.com/foreclosed-properties/6050
"Dasmariñas City, Cavite",FA: 177 sqm • LA: 206 sqm,"Php 8,757,470",https://www.unionbankph.com/sites/default/files/2025-06/Capture1_22.PNG,https://www.unionbankph.com/foreclosed-properties/6235
"Calamba City, Laguna",FA: 48 sqm • LA: 80 sqm,"Php 1,477,300",https://www.unionbankph.com/sites/default/files/2025-06/Capture_43.PNG,https://www.unionbankph.com/foreclosed-properties/6254
"Calamba City, Misamis Oriental",FA: 48 sqm • LA: 80 sqm,"Php 1,477,300",https://www.unionbankph.com/sites/default/files/2025-06/Capture_64.PNG,https://www.unionbankph.com/foreclosed-properties/6275
"Calamba City, Laguna",FA: 48 sqm • LA: 80 sqm,"Php 1,477,300",https://www.unionbankph.com/sites/default/files/2025-06/Capture_79.PNG,https://www.unionbankph.com/foreclosed-properties/6294
"Calamba City, Laguna",FA: 48 sqm • LA: 80 sqm,"Php 1,477,300",https://www.unionbankph.com/sites/default/files/2025-06/Capture_98.PNG,https://www.unionbankph.com/foreclosed-properties/6312
"Santa Cruz, Laguna",FA: 122 sqm • LA: 81 sqm,"Php 2,593,440",https://www.unionbankph.com/sites/default/files/2023-02/3_8.PNG,https://www.unionbankph.com/foreclosed-properties/3457
"Marilao, Bulacan",FA: 104 sqm • LA: 180 sqm,"Php 1,423,000",https://www.unionbankph.com/sites/default/files/2025-04/Capture_16.PNG,https://www.unionbankph.com/foreclosed-properties/5963
"Calamba City, Laguna",FA: 48 sqm • LA: 80 sqm,"Php 1,477,300",https://www.unionbankph.com/sites/default/files/2025-06/Capture_19.PNG,https://www.unionbankph.com/foreclosed-properties/6229
"Calamba City, Laguna",FA: 48 sqm • LA: 116 sqm,"Php 1,645,600",https://www.unionbankph.com/sites/default/files/2025-06/Capture_37.PNG,https://www.unionbankph.com/foreclosed-properties/6247
"Calamba City, Laguna",FA: 48 sqm • LA: 80 sqm,"Php 1,477,300",https://www.unionbankph.com/sites/default/files/2025-06/Capture_54.PNG,https://www.unionbankph.com/foreclosed-properties/6270
"Calamba City, Laguna",FA: 48 sqm • LA: 80 sqm,"Php 1,477,300",https://www.unionbankph.com/sites/default/files/2025-06/Capture_72.PNG,https://www.unionbankph.com/foreclosed-properties/6288
"Calamba City, Laguna",FA: 48 sqm • LA: 80 sqm,"Php 1,477,300",https://www.unionbankph.com/sites/default/files/2025-06/Capture_92.PNG,https://www.unionbankph.com/foreclosed-properties/6307
"BIÑAN, Laguna",LA: 617 sqm,"Php 11,020,300",https://www.unionbankph.com/sites/default/files/2025-01/Screenshot%202025-01-23%20140634.png,https://www.unionbankph.com/foreclosed-properties/5708
"Calamba City, Laguna",FA: 48 sqm • LA: 80 sqm,"Php 1,477,300",https://www.unionbankph.com/sites/default/files/2025-06/Capture_12.PNG,https://www.unionbankph.com/foreclosed-properties/6219
"Calamba City, Laguna",FA: 48 sqm • LA: 80 sqm,"Php 1,477,300",https://www.unionbankph.com/sites/default/files/2025-06/Capture_32.PNG,https://www.unionbankph.com/foreclosed-properties/6242
"Calamba City, Laguna",FA: 48 sqm • LA: 80 sqm,"Php 1,477,300",https://www.unionbankph.com/sites/default/files/2025-06/Capture_49.PNG,https://www.unionbankph.com/foreclosed-properties/6260
"Calamba City, Laguna",FA: 48 sqm • LA: 80 sqm,"Php 1,477,300",https://www.unionbankph.com/sites/default/files/2025-06/Capture_59.PNG,https://www.unionbankph.com/foreclosed-properties/6282
"Calamba City, Laguna",FA: 48 sqm • LA: 80 sqm,"Php 1,477,300",https://www.unionbankph.com/sites/default/files/2025-06/Capture_87.PNG,https://www.unionbankph.com/foreclosed-properties/6302
"Lucena, Quezon",FA: 270 sqm • LA: 120 sqm,"Php 4,114,250",https://www.unionbankph.com/sites/default/files/2025-08/Capture_21.PNG,https://www.unionbankph.com/foreclosed-properties/6671
"Calamba City, Laguna",FA: 48 sqm • LA: 95 sqm,"Php 1,547,430",https://www.unionbankph.com/sites/default/files/2025-06/Capture_52.PNG,https://www.unionbankph.com/foreclosed-properties/6268
"Calamba City, Laguna",FA: 48 sqm • LA: 80 sqm,"Php 1,477,300",https://www.unionbankph.com/sites/default/files/2025-06/Capture_63.PNG,https://www.unionbankph.com/foreclosed-properties/6285
"Calamba City, Laguna",FA: 48 sqm • LA: 80 sqm,"Php 1,477,300",https://www.unionbankph.com/sites/default/files/2025-06/Capture_90.PNG,https://www.unionbankph.com/foreclosed-properties/6305
"Pasay City, NCR",LA: 31 sqm,"Php 4,914,000",https://www.unionbankph.com/sites/default/files/2025-08/Capture_6.PNG,https://www.unionbankph.com/foreclosed-properties/6639
"Oton, Iloilo",LA: 176 sqm,"Php 1,157,800",https://www.unionbankph.com/sites/default/files/2025-09/Screenshot%202025-09-18%20173855.png,https://www.unionbankph.com/foreclosed-properties/7064
"Parañaque City, NCR",FA: 28 sqm,"Php 4,307,000",https://www.unionbankph.com/sites/default/files/2022-11/6_6.PNG,https://www.unionbankph.com/foreclosed-properties/3303
"Tanza, Cavite",LA: 717 sqm,"Php 5,734,000",https://www.unionbankph.com/sites/default/files/2023-02/A_9.PNG,https://www.unionbankph.com/foreclosed-properties/3440
"Las Piñas City, NCR",FA: 250 sqm • LA: 544 sqm,"Php 17,311,000",https://www.unionbankph.com/sites/default/files/2024-10/Capture_5.PNG,https://www.unionbankph.com/foreclosed-properties/5080
"Pasig City, NCR",FA: 64 sqm,"Php 5,969,000",https://www.unionbankph.com/sites/default/files/2025-01/Screenshot%202025-01-10%20134831.png,https://www.unionbankph.com/foreclosed-properties/5379
"Davao City, Davao",FA: 52 sqm,"Php 5,632,000",https://www.unionbankph.com/sites/default/files/2025-01/Screenshot%202025-01-16%20144431.png,https://www.unionbankph.com/foreclosed-properties/5505
"Las Piñas City, NCR",FA: 169 sqm • LA: 90 sqm,"Php 7,943,000",https://www.unionbankph.com/sites/default/files/2025-03/Screenshot%202025-03-15%20135552.png,https://www.unionbankph.com/foreclosed-properties/5856
"Carmona, Cavite",FA: 95 sqm • LA: 169 sqm,"Php 6,149,000",https://www.unionbankph.com/sites/default/files/2025-06/Capture_9.PNG,https://www.unionbankph.com/foreclosed-properties/6215
"Calamba City, Laguna",FA: 48 sqm • LA: 103 sqm,"Php 1,584,830",https://www.unionbankph.com/sites/default/files/2025-06/Capture_25.PNG,https://www.unionbankph.com/foreclosed-properties/6240
"Calamba City, Laguna",FA: 48 sqm • LA: 80 sqm,"Php 1,477,300",https://www.unionbankph.com/sites/default/files/2025-06/Capture_47.PNG,https://www.unionbankph.com/foreclosed-properties/6258
"Calamba City, Laguna",FA: 48 sqm • LA: 128 sqm,"Php 1,701,700",https://www.unionbankph.com/sites/default/files/2025-06/Capture_69.PNG,https://www.unionbankph.com/foreclosed-properties/6279
"Calamba City, Laguna",FA: 48 sqm • LA: 107 sqm,"Php 1,603,530",https://www.unionbankph.com/sites/default/files/2025-06/Capture_84.PNG,https://www.unionbankph.com/foreclosed-properties/6299
"Municipality Of San Pedro, Laguna",FA: 231 sqm • LA: 180 sqm,"Php 3,900,000",https://www.unionbankph.com/sites/default/files/2025-06/Capture_103.PNG,https://www.unionbankph.com/foreclosed-properties/6317
"City of Manila, NCR",FA: 45 sqm,"Php 5,014,240",https://www.unionbankph.com/sites/default/files/2025-08/Capture_29.PNG,https://www.unionbankph.com/foreclosed-properties/6678
"Imus City, Cavite",FA: 94 sqm • LA: 66 sqm,"Php 3,755,000",https://www.unionbankph.com/sites/default/files/2022-11/8.PNG,https://www.unionbankph.com/foreclosed-properties/3268
"Tanza, Cavite",LA: 845 sqm,"Php 6,758,000",https://www.unionbankph.com/sites/default/files/2023-02/A.PNG,https://www.unionbankph.com/foreclosed-properties/3432
"Taguig City, NCR",FA: 59 sqm,"Php 11,505,000",https://www.unionbankph.com/sites/default/files/2024-02/3_4.PNG,https://www.unionbankph.com/foreclosed-properties/4325
"San Pedro, Laguna",LA: 387 sqm,"Php 5,147,100",https://www.unionbankph.com/sites/default/files/2025-01/Screenshot%202025-01-09%20163216.png,https://www.unionbankph.com/foreclosed-properties/5368
"Antipolo City, Rizal",LA: 182 sqm,"Php 3,424,000",https://www.unionbankph.com/sites/default/files/2025-01/Screenshot%202025-01-16%20141352.png,https://www.unionbankph.com/foreclosed-properties/5497
"Quezon City, NCR",FA: 30 sqm,"Php 4,275,000",https://www.unionbankph.com/sites/default/files/2025-03/Screenshot%202025-03-13%20103615.png,https://www.unionbankph.com/foreclosed-properties/5836
"Makati City, NCR",FA: 27 sqm,"Php 5,633,830",https://www.unionbankph.com/sites/default/files/2025-06/Capture_8.PNG,https://www.unionbankph.com/foreclosed-properties/6214
"Calamba City, Laguna",FA: 48 sqm • LA: 88 sqm,"Php 1,514,700",https://www.unionbankph.com/sites/default/files/2025-06/Capture_30.PNG,https://www.unionbankph.com/foreclosed-properties/6239
"Calamba City, Laguna",FA: 48 sqm • LA: 80 sqm,"Php 1,477,300",https://www.unionbankph.com/sites/default/files/2025-06/Capture_46.PNG,https://www.unionbankph.com/foreclosed-properties/6257
"Calamba City, Laguna",FA: 48 sqm • LA: 80 sqm,"Php 1,477,300",https://www.unionbankph.com/sites/default/files/2025-06/Capture_68.PNG,https://www.unionbankph.com/foreclosed-properties/6278
"Calamba City, Laguna",FA: 48 sqm • LA: 80 sqm,"Php 1,477,300",https://www.unionbankph.com/sites/default/files/2025-06/Capture_83.PNG,https://www.unionbankph.com/foreclosed-properties/6298
"Las Piñas City, NCR",FA: 69 sqm,"Php 2,686,000",https://www.unionbankph.com/sites/default/files/2025-06/Capture_101.PNG,https://www.unionbankph.com/foreclosed-properties/6315
"City of Manila, NCR",FA: 54 sqm,"Php 4,812,000",https://www.unionbankph.com/sites/default/files/2025-08/Capture_27.PNG,https://www.unionbankph.com/foreclosed-properties/6677
"Laurel, Batangas",LA: 449 sqm,"Php 6,735,000",https://www.unionbankph.com/sites/default/files/2022-10/PTE%201.PNG,https://www.unionbankph.com/foreclosed-properties/3219
"Quezon City, NCR",FA: 150 sqm • LA: 50 sqm,"Php 7,020,000",https://www.unionbankph.com/sites/default/files/2023-02/3.1_1.PNG,https://www.unionbankph.com/foreclosed-properties/3428
"Quezon City, NCR",FA: 41 sqm,"Php 3,847,500",https://www.unionbankph.com/sites/default/files/2024-02/5.PNG,https://www.unionbankph.com/foreclosed-properties/4300
"San Pedro, Laguna",LA: 374 sqm,"Php 4,974,200",https://www.unionbankph.com/sites/default/files/2025-01/Screenshot%202025-01-09%20154646.png,https://www.unionbankph.com/foreclosed-properties/5361
"Quezon City, NCR",FA: 29 sqm,"Php 3,625,000",https://www.unionbankph.com/sites/default/files/2025-01/Screenshot%202025-01-15%20101625_1.png,https://www.unionbankph.com/foreclosed-properties/5449
"Bulacan, Bulacan",FA: 45 sqm • LA: 48 sqm,"Php 2,700,000",https://www.unionbankph.com/sites/default/files/2025-01/Screenshot%202025-01-23%20142033.png,https://www.unionbankph.com/foreclosed-properties/5711
"LAS PINAS CITY, NCR",FA: 130 sqm • LA: 65 sqm,"Php 5,720,000",https://www.unionbankph.com/sites/default/files/2025-04/Capture_64.PNG,https://www.unionbankph.com/foreclosed-properties/6054
"Calamba City, Laguna",FA: 48 sqm • LA: 80 sqm,"Php 1,477,300",https://www.unionbankph.com/sites/default/files/2025-06/Capture_22.PNG,https://www.unionbankph.com/foreclosed-properties/6232
"Calamba City, Laguna",FA: 48 sqm • LA: 80 sqm,"Php 1,477,300",https://www.unionbankph.com/sites/default/files/2025-06/Capture_39.PNG,https://www.unionbankph.com/foreclosed-properties/6251
"Calamba City, Laguna",FA: 48 sqm • LA: 80 sqm,"Php 1,477,300",https://www.unionbankph.com/sites/default/files/2025-06/Capture_57.PNG,https://www.unionbankph.com/foreclosed-properties/6273
"Calamba City, Laguna",FA: 48 sqm • LA: 80 sqm,"Php 1,477,300",https://www.unionbankph.com/sites/default/files/2025-06/Capture_76.PNG,https://www.unionbankph.com/foreclosed-properties/6291
"Mandaluyong City, NCR",FA: 26 sqm,"Php 4,144,000",https://www.unionbankph.com/sites/default/files/2025-08/Capture_26.PNG,https://www.unionbankph.com/foreclosed-properties/6676
