Address,Lot,Price,Image_Link,Link,Title,Lot Description
Rizal,62,1722400,https://www.unionbankph.com/sites/default/files/2025-01/Screenshot%202025-01-13%20135811.png,https://www.unionbankph.com/foreclosed-properties/5403,"Brgy. Bagumbayan, Teresa Rizal",House and Lot
Misamis Oriental,99,4413000,https://www.unionbankph.com/sites/default/files/2025-04/Capture_61.PNG,https://www.unionbankph.com/foreclosed-properties/6050,"Subdivision, Barangay Kauswagan, Cagayan de Oro City, Misamis Oriental",House and Lot
Cavite,206,8757470,https://www.unionbankph.com/sites/default/files/2025-06/Capture1_22.PNG,https://www.unionbankph.com/foreclosed-properties/6235,"Subdivision, Phase 1 At The Island Park, Barangay Paliparan Iii, Dasmariñas City, Province Of Cavite",House and Lot
Laguna,80,1477300,https://www.unionbankph.com/sites/default/files/2025-06/Capture_43.PNG,https://www.unionbankph.com/foreclosed-properties/6254,"Barangay Barandal, Calamba City, Province Of Laguna",House and Lot
Misamis Oriental,80,1477300,https://www.unionbankph.com/sites/default/files/2025-06/Capture_64.PNG,https://www.unionbankph.com/foreclosed-properties/6275,"Brgy. Barandal, Calamba City Province Of Laguna",House and Lot
Laguna,81,2593440,https://www.unionbankph.com/sites/default/files/2023-02/3_8.PNG,https://www.unionbankph.com/foreclosed-properties/3457,"Subdivision, Barangay San Pablo Sur, Sta. Cruz, Laguna",House and Lot
Bulacan,180,1423000,https://www.unionbankph.com/sites/default/files/2025-04/Capture_16.PNG,https://www.unionbankph.com/foreclosed-properties/5963,"BRGY. ABANGAN NORTE, MARILAO, BULACAN",House and Lot
Laguna,116,1645600,https://www.unionbankph.com/sites/default/files/2025-06/Capture_37.PNG,https://www.unionbankph.com/foreclosed-properties/6247,"Brgy Barandal, Calamba City, Province Of Laguna",House and Lot
Laguna,617,11020300,https://www.unionbankph.com/sites/default/files/2025-01/Screenshot%202025-01-23%20140634.png,https://www.unionbankph.com/foreclosed-properties/5708,"SUBDIVISION, BRGY. TUBIGAN, BIÑAN, PROVINCE OF LAGUNA",House and Lot
Quezon,120,4114250,https://www.unionbankph.com/sites/default/files/2025-08/Capture_21.PNG,https://www.unionbankph.com/foreclosed-properties/6671,"Subdivision, Brgy. Kanlurang Mayao, Lucena City, Quezon Province",House and Lot
Laguna,95,1547430,https://www.unionbankph.com/sites/default/files/2025-06/Capture_52.PNG,https://www.unionbankph.com/foreclosed-properties/6268,"Brgy. Barandal, Calamba City, Province Of Laguna",House and Lot
NCR,31,4914000,https://www.unionbankph.com/sites/default/files/2025-08/Capture_6.PNG,https://www.unionbankph.com/foreclosed-properties/6639,"Barangay 183, Pasay City, Metro Manila",Condominium
Iloilo,176,1157800,https://www.unionbankph.com/sites/default/files/2025-09/Screenshot%202025-09-18%20173855.png,https://www.unionbankph.com/foreclosed-properties/7064,"Subdivision, Pulo, Maestra Vita, Oton, Iloilo City",Vacant Lot
NCR,28,4307000,https://www.unionbankph.com/sites/default/files/2022-11/6_6.PNG,https://www.unionbankph.com/foreclosed-properties/3303,"Building East, Azure Urban Resort, Barangay Marcelo Green, Parañaque City, Metro Manila",Condominium
Cavite,717,5734000,https://www.unionbankph.com/sites/default/files/2023-02/A_9.PNG,https://www.unionbankph.com/foreclosed-properties/3440,"Subdivision, Barangay Tanauan, Tanza, Cavite",Vacant Lot
NCR,544,17311000,https://www.unionbankph.com/sites/default/files/2024-10/Capture_5.PNG,https://www.unionbankph.com/foreclosed-properties/5080,"Subdivision, Barangay Pulang Lupa Dos, Las Piñas City, Metropolitan Manila",House and Lot
NCR,64,5969000,https://www.unionbankph.com/sites/default/files/2025-01/Screenshot%202025-01-10%20134831.png,https://www.unionbankph.com/foreclosed-properties/5379,"Barangay Santolan, City of Pasig""",Condominium
Davao,52,5632000,https://www.unionbankph.com/sites/default/files/2025-01/Screenshot%202025-01-16%20144431.png,https://www.unionbankph.com/foreclosed-properties/5505,"Building Camella Northpoint Condominium Complex Brgy. Bajada, Davao City",Condominium
